
param R:
	1	2	3	4	5	6	7	8	9	10 :=
1	-1.91	-0.07	-0.16	-4.45	0.91	-1.56	1.5	-1.43	-0.73	-2.98
2	1.49	-0.04	0.22	77.6	5.03	1.73	2.93	0.7	0.69	21.03
3	-0.94	-0.32	-0.12	-25.92	-2.59	-1.7	-0.51	-2.09	0.62	-17.07
4	-1.58	-0.32	-0.17	-62.73	4.51	-0.62	-1.29	1.56	0.86	-7.75
5	-0.94	-0.13	-0.23	97.31	2.15	1.38	-1.28	-1.7	-1.43	-7.18
6	-0.61	-0.27	-0.62	-22.64	2.76	0.97	0.21	-0.75	0.29	0.65
7	-0.8	-0.35	0.16	-15.08	3.78	-0.73	-0.86	2.09	-0.83	-9.51
8	0.39	0.12	-0.18	-42.66	2.19	0.52	0.09	6.3	-0.26	4.48
9	-0.85	0.13	0.54	-26.64	0.4	-1.17	-0.16	-2.13	1.55	8.3
10	0.9	-0.12	-0.42	13.04	2.58	-0.96	0.69	2.15	1.25	5.84
11	1.81	0.05	-0.12	6.39	-3.03	-0.18	1.67	-2.01	0.3	3.73
12	2.52	0.76	-0.12	38.26	-1.5	2.58	4.75	0.29	3.57	8.9
13	-0.19	0.02	0.06	-57.99	1.11	-1.21	-0.44	-1.59	-0.44	5.89
14	-0.22	0.07	-0.06	87.91	3.16	2.11	-0.76	1.71	0.34	0.34
15	1.82	0.12	0.12	75.77	1.41	0.99	3.75	4.72	2.86	13.2
16	-1.58	-0.29	-0.12	-34.83	3.73	-2.14	-0.44	-0.5	0.44	-4.48
17	1.63	-0.53	0.06	39.9	3.72	2.7	0.42	-0.92	1.44	9.84
18	-1.75	-1.1	0.12	-40.68	-0.96	-2.69	-5.34	0.72	0.46	-0.67
19	-2.4	-0.76	-1.56	-40.07	-3.02	-4.43	-1.31	-5.14	-1.27	-7.11
20	0.63	0.93	0.48	-41.42	3.7	1.2	2.75	-0.84	-1.51	5.46
21	2.04	-0.16	-0.78	40.32	2.74	0.59	1.32	2.06	1.89	5.59
22	0.08	0.19	-2.64	-3.14	1.86	0.6	3.03	0.58	-0.44	4.63
23	0.9	0.09	-0.18	-90.04	-0.01	-2.2	-0.88	-1.44	-2.93	-4.2
24	-0.74	0.39	0.66	36.98	-0.77	1.03	1.71	1.46	1.49	-1.34
25	1.66	-0.25	0.48	46.88	4.87	1.72	2.13	3.97	1.66	3.19
26	-2.04	-0.63	-1.68	40.27	1.44	1.9	-1.46	-1.7	-0.18	3.92
27	2.45	-0.4	-2.52	34.18	0.78	1.02	-0.4	0.41	-0.67	5.72
28	0.47	-0.25	1.02	18.62	1.56	1.2	1.26	0.04	-0.91	1.19
29	1.58	-0.1	-1.44	21.46	-2.26	-0.24	2.16	3.75	1.6	10.86
